mid,transaction_id,company,sender_id,email_timestamp,year,month,day,product_mrp,product_price,product_discount,product_quantity,product_total,product_shipping_fee,product_shipping_discount,order_subtotal,order_convenience_fee,order_delivery_fee,order_gift_wrapping_fee,order_cod_fee,product_pickup_fee,order_donation,order_discount,order_promotion_discount,order_exchange_discount,order_cashback,paid_with_wallet_balance,order_amount_paid,points_earned,premium_membership,premium_membership_type,order_payment_type,order_payment_currency,product_brand,product_name,product_category,product_subcategory_1,product_subcategory_2,seller_name,ott_purchase,ott_subscription_name,ott_subscription_amount,dth_purchase,dth_subscription_name,dth_subscription_amount,broadband_purchase,broadband_subscription_name,broadband_subscription_amount,delivery_address_postal_code,delivery_address_city,delivery_address_state,user_id,user_gender,user_age,user_dob,user_address_postal_code,user_address_city,user_address_state,user_address_country,user_device_brand,user_device_model,user_os_type,user_onboard_at,user_inactive_at
Copy of swiggy_100,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,Itc Master Chef Crispy French Fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_101,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,35.00,,,,,,,,,,,,,,,,,,,,,,,,,Robusta Banana (Pachha Baalehannu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_101,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,95.00,,,,,,,,,,,,,,,,,,,,,,,,,Marlboro Advanced Compact Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_102,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,35.00,,,,,,,,,,,,,,,,,,,,,,,,,Mother Dairy Classic Toned Curd Pouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_102,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,XXXXX,,,,,,,,,,,,,,,,,,,,,,,,,Cadbury Bournville Rich Cocoa 70% Dark Chocolate Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_103,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,74.00,,,,,,,,,,,,,,,,,,,,,,,,,Amul Taaza Toned Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_103,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,145.00,,,,,,,,,,,,,,,,,,,,,,,,,Fortune Soya Chunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_103,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,170.00,,,,,,,,,,,,,,,,,,,,,,,,,Classic Milds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_104,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,Britannia Burger Bun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_104,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,73.00,,,,,,,,,,,,,,,,,,,,,,,,,Maggi 2 Minute Noodles Special Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_104,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,135.00,,,,,,,,,,,,,,,,,,,,,,,,,Mccain Crispy Onion Rings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_104,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,88.00,,,,,,,,,,,,,,,,,,,,,,,,,TGF Tandoori Sandwich Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_104,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,305.00,,,,,,,,,,,,,,,,,,,,,,,,,Venky's Chicken Burger Patty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_104,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,162.00,,,,,,,,,,,,,,,,,,,,,,,,,Ching's Secret Schezwan Chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_104,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,74.00,,,,,,,,,,,,,,,,,,,,,,,,,ORIKA African Peri Peri (Spicy & Zesty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_105,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,67.62,,,,,,,,,,,,,,,,,,,,,,,,,Nissin Geki Hot & Spicy Korean Veg Noodles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_105,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,150.00,,,,,,,,,,,,,,,,,,,,,,,,,Odonil Gel Pocket Mix Air Freshener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_106,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,29.00,,,,,,,,,,,,,,,,,,,,,,,,,Hybrid Tomato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_106,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,34.00,,,,,,,,,,,,,,,,,,,,,,,,,Amul Gold Pasteurised Full Cream Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_106,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,22.00,,,,,,,,,,,,,,,,,,,,,,,,,Baby Cabbage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_106,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,48.00,,,,,,,,,,,,,,,,,,,,,,,,,Potato (Batate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
